Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Carola Garra,F,SBD,Raw,29.5,24-34,24-39,Open,67.6,69,207.5,217.5,222.5,,222.5,140,-147.5,-147.5,,140,202.5,210,215,,215,577.5,1,595.70,588.78,519.38,121.04,Yes,Italy,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Eddie Berglund,M,SBD,Raw,29,24-34,24-39,Open,73.4,74,247.5,260,270,,270,195,205,212.5,,212.5,250,260,-267.5,,260,742.5,7,540.17,537.20,519.54,109.47,Yes,Sweden,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Tadas Gečas,M,SBD,Raw,47,45-49,40-49,Open,145,120+,305,-315,-315,,305,182.5,-190,-190,,182.5,327.5,-347.5,-347.5,,327.5,815,10,442.32,453.10,429.49,87.63,Yes,Lithuania,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Anatolii Novopismennyi,M,SBD,Raw,27.5,24-34,24-39,Open,104.7,105,350,363.5,370.5,,370.5,215,225,230,,230,325,340,-347.5,,340,940.5,2,567.87,562.57,537.19,116.27,Yes,Ukraine,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Alexander Eriksson #1,M,SBD,Raw,29.5,24-34,24-39,Open,65.55,66,220,232.5,235,,235,152.5,160,-167.5,,160,275,292.5,-297.5,,292.5,687.5,6,541.42,542.88,527.69,107.56,Yes,Sweden,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Egidijus Valčiukas,M,SBD,Raw,25.5,24-34,24-39,Open,56.7,59,-210,-210,210,,210,112.5,120,-122.5,,120,130,140,,,140,470,15,416.13,422.73,414.15,79.45,Yes,Lithuania,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Viktor Samúelsson,M,SBD,Raw,30.5,24-34,24-39,Open,102.9,105,260,270,-280,,270,180,190,195,,195,300,315,-330,,315,780,19,474.32,469.50,448.31,97.22,Yes,Iceland,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,35.5,35-39,24-39,Open,73.55,74,260,272.5,-277.5,,272.5,197.5,207.5,-210,,207.5,322.5,332.5,-337.5,,332.5,812.5,2,590.31,586.99,567.64,119.66,Yes,Norway,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Steve Ringoot,M,SBD,Raw,34,24-34,24-39,Open,142.2,120+,310,-320,320,,320,215,222.5,227.5,,227.5,310,332.5,340,,340,887.5,6,484.26,494.80,469.75,96.15,Yes,Belgium,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Jani Haapamäki,M,SBD,Raw,45,45-49,40-49,Open,73.55,74,225,235,245,,245,165,170,-175,,170,-260,260,-285,,260,675,13,490.41,487.65,471.58,99.41,Yes,Finland,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Merili Andla,F,SBD,Raw,29.5,24-34,24-39,Open,62.2,63,135,142.5,-147.5,,142.5,62.5,67.5,70,,70,150,160,-162.5,,160,372.5,15,403.77,403.95,356.75,82.18,Yes,Estonia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Siim Salin,M,SBD,Raw,28.5,24-34,24-39,Open,118.7,120,290,-310,310,,310,190,200,-202.5,,200,300,325,-335,,325,835,15,481.30,481.30,461.14,97.53,Yes,Estonia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Argo Erit,M,SBD,Raw,37.5,35-39,24-39,Open,110.2,120,150,170,200,,200,185,200,205,,205,-250,250,275,,275,680,22,402.47,399.95,382.28,82.11,Yes,Estonia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Siim Sammalkivi,M,SBD,Raw,36.5,35-39,24-39,Open,92.75,93,230,240,-250,,240,162.5,167.5,,,167.5,255,270,-275,,270,677.5,31,431.62,426.14,407.91,88.75,Yes,Estonia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Martin Simonsen,M,SBD,Raw,24.5,24-34,24-39,Open,176.9,120+,310,327.5,337.5,,337.5,235,250,-255,,250,260,280,-295,,280,867.5,8,446.87,468.17,438.00,86.86,Yes,Denmark,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Mathilde Østergaard,F,SBD,Raw,29.5,24-34,24-39,Open,56.2,57,135,140,142.5,,142.5,77.5,82.5,-85,,82.5,160,167.5,175,,175,400,13,462.56,469.33,415.11,94.84,Yes,Denmark,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Jesper Vogelius,M,SBD,Raw,23.5,24-34,24-39,Open,103.95,105,287.5,300,307.5,,307.5,187.5,195,200,,200,300,315,322.5,,322.5,830,10,502.62,497.75,475.28,102.96,Yes,Denmark,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kristýna Bedleková,F,SBD,Raw,23.5,24-34,24-39,Open,55.5,57,125,135,-140,,135,-70,-70,70,,70,137.5,150,-155,,150,355,19,413.95,420.64,372.15,84.99,Yes,Czechia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Martin Hladík,M,SBD,Raw,29.5,24-34,24-39,Open,82.7,83,245,255,262.5,,262.5,152.5,160,165,,165,295,310,315,,315,742.5,11,502.28,496.69,477.86,102.97,Yes,Czechia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kristýna Rakovská,F,SBD,Raw,30.5,24-34,24-39,Open,75.85,76,180,187.5,192.5,,192.5,102.5,107.5,-110,,107.5,180,-192.5,192.5,,192.5,492.5,12,476.85,464.93,408.79,97.19,Yes,Czechia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Ivana Horná,F,SBD,Raw,33.5,24-34,24-39,Open,68.3,69,182.5,187.5,-192.5,,187.5,100,105,-107.5,,105,217.5,227.5,232.5,,232.5,525,7,538.35,531.35,468.62,109.39,Yes,Slovakia,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Catherine Gagné,F,SBD,Raw,30,24-34,24-39,Open,51.25,52,142.5,150,155,,155,85,-87.5,-87.5,,85,165,172.5,177.5,,177.5,417.5,7,514.08,526.33,466.82,106.76,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Aurélie Nguyen,F,SBD,Raw,24.5,24-34,24-39,Open,46.9,47,130,135,137.5,,137.5,77.5,82.5,85,,85,165,172.5,-187.5,,172.5,395,3,518.49,532.05,474.37,109.73,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kafui Hotsonyame,M,SBD,Raw,30.5,24-34,24-39,Open,82.4,83,260,275,285,,285,162.5,170,175,,175,310,-327.5,-327.5,,310,770,7,521.95,516.20,496.72,106.98,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Shannon Mutch,F,SBD,Raw,30.5,24-34,24-39,Open,68.5,69,-175,175,182.5,,182.5,95,100,102.5,,102.5,175,185,190,,190,475,11,486.27,479.75,423.09,98.81,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Danielle Philibert,F,SBD,Raw,31,24-34,24-39,Open,81.85,84,192.5,202.5,-207.5,,202.5,125,130,135,,135,200,212.5,217.5,,217.5,555,3,517.09,501.56,439.26,105.91,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Blake Barrett #1,M,SBD,Raw,26,24-34,24-39,Open,73.6,74,245,257.5,-265,,257.5,152.5,-160,160,,160,-280,280,302.5,,302.5,720,10,522.87,519.91,502.76,106.00,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Walter Cariazo,M,SBD,Raw,35.5,35-39,24-39,Open,102.85,105,285,297.5,307.5,,307.5,200,207.5,212.5,,212.5,335,367.5,-385,,367.5,887.5,4,539.80,534.30,510.18,110.64,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Clifton Pho,M,SBD,Raw,28.5,24-34,24-39,Open,64.7,66,215,227.5,232.5,,232.5,137.5,-142.5,-142.5,,137.5,287.5,-308,-308,,287.5,657.5,9,522.90,524.88,510.52,103.58,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Nicole Coopoosamy,F,SBD,Raw,30.5,24-34,24-39,Open,83.3,84,172.5,182.5,190,,190,92.5,100,105,,105,200,212.5,220,,220,515,6,475.77,461.19,403.43,97.58,Yes,South Africa,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Dana Ye-Lee,F,SBD,Raw,24,24-34,24-39,Open,56.75,57,147.5,152.5,-155,,152.5,97.5,102.5,-105,,102.5,157.5,167.5,-172.5,,167.5,422.5,9,485.45,491.96,435.04,99.43,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Brittany Schlater,F,SBD,Raw,32.5,24-34,24-39,Open,123.6,84+,260,272.5,280,,280,140,147.5,155,,155,252.5,267.5,269.5,,269.5,704.5,2,560.76,560.42,474.09,120.19,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Karlina Tongotea,F,SBD,Raw,31.5,24-34,24-39,Open,75.3,76,217.5,-225,-225,,217.5,125,130,-132.5,,130,232.5,240,245,,245,592.5,2,575.87,561.85,494.16,117.33,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Emily zur Linden,F,SBD,Raw,36.5,35-39,24-39,Open,61.8,63,170,175,-180,,175,100,105,107.5,,107.5,185,195,205,,205,487.5,8,530.53,531.27,469.23,108.01,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Evie Corrigan,F,SBD,Raw,28,24-34,24-39,Open,51.85,52,157.5,165,170,,170,100,105,107.5,,107.5,190,200,-205,,200,477.5,1,583.20,596.60,528.89,120.87,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kavishi Kariyawasam,F,SBD,Raw,31,24-34,24-39,Open,56.15,57,140,147.5,155,,155,77.5,80,82.5,,82.5,180,-192.5,-197.5,,180,417.5,11,483.08,490.20,433.58,99.05,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Megan-Li Smith,F,SBD,Raw,28,24-34,24-39,Open,51.65,52,162.5,167.5,170,,170,92.5,95,97.5,,97.5,172.5,180,185,,185,452.5,2,554.15,567.05,502.77,114.93,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Lucas Wiseman,M,SBD,Raw,24.5,24-34,24-39,Open,118.7,120,330,350,360,,360,180,187.5,192.5,,192.5,330,-347.5,347.5,,347.5,900,5,518.77,518.76,497.04,105.12,Yes,Canada,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Thomas Delamore,M,SBD,Raw,24,24-34,24-39,Open,92.85,93,245,-257.5,257.5,,257.5,140,145,-150,,145,272.5,292.5,-300,,292.5,695,29,442.54,436.93,418.21,90.99,Yes,New Zealand,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Sibusiso Sishi,M,SBD,Raw,38.5,35-39,24-39,Open,98.6,105,240,252.5,-267.5,,252.5,155,165,170,,170,250,275,290,,290,712.5,26,441.27,436.11,416.65,90.62,Yes,South Africa,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Carlos Petterson-Grifith,M,SBD,Raw,30,24-34,24-39,Open,93,93,305,325,337.5,,337.5,165,172.5,177.5,,177.5,345,-370,-370,,345,860,5,547.18,540.24,517.07,112.51,Yes,Guyana,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
